depth,iterations,accuracy,f1,C
1,0,0.8049105607155143,0.7023306479382331,0.001
1,2,0.8104661162710698,0.7044735050810902,0.001
1,4,0.8104661162710698,0.7051098172982848,0.001
1,6,0.8104661162710698,0.7051098172982848,0.001
2,0,0.814701582387341,0.7251851661410484,0.001
2,2,0.7907701238390092,0.6837298934725405,0.001
2,4,0.791062521499828,0.6810630994822171,0.001
2,6,0.7802438080495355,0.667440953654189,0.001
3,0,0.832641038871689,0.7514869532342441,0.001
3,2,0.8730284657722738,0.8133706693633164,0.001
3,4,0.8789108187134502,0.8173100633027103,0.001
3,6,0.8726608187134502,0.7991412427441839,0.001
