depth,iterations,accuracy,f1,C
1,0,0.6204936360509116,0.5249990818005524,0.001
1,2,0.6204936360509116,0.5249990818005524,0.001
1,4,0.6204936360509116,0.5249990818005524,0.001
1,6,0.6204936360509116,0.5249990818005524,0.001
2,0,0.6378955968352253,0.5340474442138529,0.001
2,2,0.7903358273133815,0.6922371501047971,0.001
2,4,0.8247248022015825,0.7152289744569157,0.001
2,6,0.830280357757138,0.7201463820407319,0.001
3,0,0.7266705366357069,0.6764233723792547,0.001
3,2,0.8928835569315445,0.8584933122433123,0.001
3,4,0.8928835569315445,0.8520647408147408,0.001
3,6,0.8928835569315445,0.8520647408147408,0.001
