depth,iterations,accuracy,f1,C
1,0,0.8026785714285714,0.7743826999976886,10.0
1,2,0.7964285714285714,0.7688415744565631,10.0
1,4,0.7964285714285714,0.7688415744565631,10.0
1,6,0.7964285714285714,0.7688415744565631,10.0
2,0,0.8919642857142858,0.8773113283868433,100.0
2,2,0.8928571428571429,0.8740923537433837,1.0
2,4,0.8732142857142857,0.8544845106061286,1.0
2,6,0.8651785714285714,0.841352739556401,1.0
3,0,0.8839285714285715,0.8714062451136755,100.0
3,2,0.9133928571428571,0.8982908605505859,1.0
3,4,0.90625,0.8909224394979542,1.0
3,6,0.90625,0.8909224394979542,1.0
