depth,iterations,accuracy,f1,C
1,0,0.3221534227726178,0.19447672210830105,100.0
1,2,0.530110509115927,0.34867194939563356,10.0
1,4,0.530110509115927,0.3470491423780897,10.0
1,6,0.530110509115927,0.3470491423780897,10.0
2,0,0.564546783625731,0.35525302548328863,10.0
2,2,0.5037237702098383,0.3431478203169379,1.0
2,4,0.481437048503612,0.3923659673659673,100.0
2,6,0.502999226006192,0.38346129360835246,1.0
3,0,0.49169676642586857,0.34340422713681223,100.0
3,2,0.6413334193326453,0.527556055056055,100.0
3,4,0.7245506535947712,0.6026768084856319,10.0
3,6,0.7134739422084623,0.5573347090645852,100.0
