depth,iterations,accuracy,f1,C
1,0,0.7848877708978328,0.657970231522863,10.0
1,2,0.7848877708978328,0.657970231522863,10.0
1,4,0.7848877708978328,0.657970231522863,1.0
1,6,0.7848877708978328,0.657970231522863,1.0
2,0,0.8262555899552803,0.7310782851049878,1.0
2,2,0.7898929308565531,0.6821006728050072,1.0
2,4,0.7960676814585483,0.684156578500619,1.0
2,6,0.8023176814585483,0.6868838512278915,0.1
3,0,0.8416430168558652,0.7626665813546618,0.01
3,2,0.897703818369453,0.8631294273322137,0.001
3,4,0.8924406604747162,0.8590949650624573,0.001
3,6,0.8806759545923633,0.839124102591595,0.001
