depth,iterations,accuracy,f1,C
1,0,0.881955194358445,0.795756261282577,100.0
1,2,0.881955194358445,0.795756261282577,100.0
1,4,0.881955194358445,0.795756261282577,100.0
1,6,0.881955194358445,0.795756261282577,100.0
2,0,0.8921138630890952,0.8260073953823953,100.0
2,2,0.8800567595459237,0.8124879573041339,100.0
2,4,0.8745012039903681,0.8037011925982516,100.0
2,6,0.8745012039903681,0.8008212906374672,100.0
3,0,0.879579463364293,0.8121874653124653,100.0
3,2,0.9137512899896801,0.8673881673881674,100.0
3,4,0.9081957344341245,0.8638286754095578,100.0
3,6,0.9081957344341245,0.8638286754095578,100.0
