depth,iterations,accuracy,f1,C
1,0,0.7955357142857142,0.7637394251438875,10.0
1,2,0.7955357142857142,0.7637394251438875,10.0
1,4,0.7955357142857142,0.7637394251438875,10.0
1,6,0.7955357142857142,0.7637394251438875,10.0
2,0,0.90625,0.891229457041814,100.0
2,2,0.8928571428571429,0.8740923537433837,1.0
2,4,0.8928571428571429,0.8740923537433837,1.0
2,6,0.8857142857142858,0.8666057227273407,1.0
3,0,0.8910714285714286,0.8758615567439098,100.0
3,2,0.8919642857142858,0.8734224394979544,1.0
3,4,0.90625,0.8901037260476619,1.0
3,6,0.9071428571428571,0.8888291958486466,1.0
