depth,iterations,accuracy,f1,C
1,0,0.5248473512211902,0.30554684499217744,100.0
1,2,0.6475361197110423,0.5663935370185369,100.0
1,4,0.6707795837633299,0.5910602591852591,100.0
1,6,0.6770295837633299,0.59432948995449,100.0
2,0,0.5659356725146198,0.34073240549440237,10.0
2,2,0.6814219986240111,0.622212370962371,100.0
2,4,0.7400477296181631,0.6639600024158847,100.0
2,6,0.7625967492260062,0.6880690877749702,100.0
3,0,0.4073937908496732,0.2933196589272441,1.0
3,2,0.8989142586859306,0.8616813859944665,100.0
3,4,0.8920794633642931,0.8543043879924686,100.0
3,6,0.8930663054695562,0.85135795942104,10.0
